,日期,暫停當沖註記,成交股數,買進成交金額,賣出成交金額
0,111/02/07,,"11,951,000","1,121,440,300","1,124,922,800"
1,111/02/08,,"13,497,000","1,330,877,200","1,333,289,600"
2,111/02/09,,"13,253,000","1,372,252,000","1,375,779,500"
3,111/02/10,,"6,481,000","674,616,000","677,160,500"
4,111/02/11,,"16,841,000","1,798,868,500","1,800,633,000"
5,111/02/14,,"7,337,000","775,567,000","777,433,000"
6,111/02/15,,"7,075,000","739,462,500","741,371,000"
7,111/02/16,,"3,739,000","388,583,500","388,306,000"
8,111/02/17,,"19,165,000","2,125,766,000","2,134,456,000"
9,111/02/18,,"16,070,000","1,793,286,500","1,797,664,000"
10,111/02/21,,"10,339,000","1,146,834,500","1,148,509,000"
11,111/02/22,,"16,299,000","1,800,462,000","1,805,513,500"
12,111/02/23,,"29,820,000","3,422,385,000","3,424,026,500"
13,111/02/24,,"14,045,000","1,590,034,500","1,592,724,000"
14,111/02/25,,"11,902,000","1,337,001,000","1,338,790,500"
15,111/03/01,,"5,574,000","619,959,000","620,069,500"
16,111/03/02,,"10,429,000","1,141,895,500","1,143,910,500"
17,111/03/03,,"7,652,000","848,111,000","852,706,500"
18,111/03/04,,"11,341,000","1,292,941,500","1,295,632,000"
19,111/03/07,,"7,481,000","804,392,500","806,026,500"
20,111/03/08,,"15,540,000","1,676,562,500","1,679,264,000"
21,111/03/09,,"18,972,000","2,115,127,500","2,131,305,500"
22,111/03/10,,"33,168,000","3,993,176,500","3,993,084,000"
